pos,prk,name,team,bye,inj,age,exp,pts,value,lvalue,owner,bid,notes
TE,66,Hayden Smith,NYJ,10,,28,1,24,,,,,
TE,67,John Phillips,SD,8,,26,4,24,,,,,
TE,68,Richard Gordon,OAK,7,,26,2,23.4,,,,,
TE,69,Daniel Fells,NE,10,,29,7,16.8,,,,,
TE,70,Jeff King,ARI,9,,30,7,16.8,,,,,
TE,71,Ben Hartsock,CAR,4,,33,9,16,,,,,
TE,72,Mychal Rivera,OAK,7,,22,R,15.5,,,,,
TE,73,Rhett Ellison,MIN,5,,24,1,13.7,,,,,
TE,74,Virgil Green,DEN,9,,25,2,13.1,,,,,
TE,75,Andrew Quarless,GB,4,,24,3,11.5,,,,,
TE,76,Bear Pascoe,NYG,9,,27,4,11.2,,,,,
TE,77,Lee Smith,BUF,12,,25,2,8.2,,,,,
TE,78,Brett Brackett,JAX,9,,25,1,7.5,,,,,
TE,79,Chase Coffman,ATL,6,,26,4,6.1,,,,,
K,1,Matt Bryant,ATL,6,,38,11,143,,,,,
K,2,Matt Prater,DEN,9,,28,7,141,,,,,
K,3,Phil Dawson,SF,9,,38,15,140,,,,,
K,4,Justin Tucker,BAL,8,,23,1,139,,,,,
K,5,Stephen Gostkowski,NE,10,,29,7,138,,,,,
K,6,Blair Walsh,MIN,5,,23,1,135,,,,,
K,7,Dan Bailey,DAL,11,,25,2,134,,,,,
K,8,Sebastian Janikowski  ,OAK,7,,35,13,134,,,,,
K,9,Garrett Hartley,NO,7,,27,5,132,,,,,
